ktime,container,node,io_usage,time,pids,ram_limit,cpu_percent,io_limit,network_limit,network_usage,ram_usage,customer_id,application_id
2019-11-28 21:41:47.707000,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,36880000,1574966506919,3,73065983639.552,0.43,0,0,22400,103263764.48,,
2019-11-28 21:41:47.753000,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,182400000,1574966507707,2,73065983639.552,1.63,0,0,24080,363142840.32,,
2019-11-28 21:41:47.795000,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966507753,11,73065983639.552,0.98,589600,7776,30160,251658240,,
2019-11-28 21:41:48.433000,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966507796,1,11596411699.2,5.75,896000000,0,23680,11596411699.2,,
2019-11-28 21:41:48.532000,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966508433,1,175992995.84,0.19,356000000,0,23680,128765132.8,,
2019-11-28 21:41:48.621000,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966508533,1,3999688294.4,0.36,0,0,23680,1257452339.2,,
2019-11-28 21:41:48.708000,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966508622,1,679980564.48,0.53,367200000,0,25440,485364858.88,,
2019-11-28 21:41:48.756000,2eeb54d55f3b,953mxmlwyvltfrx88ujlpkx3k,1016000000,1574966508709,23,73065983639.552,0.95,0,13120,33520,390825246.72,,
2019-11-28 21:41:48.854000,7437635703d2,953mxmlwyvltfrx88ujlpkx3k,5176000,1574966508756,1,520009809.92,0.47,1376000000,0,23680,471523655.68,,
2019-11-28 21:41:48.956000,01f13e58f338,953mxmlwyvltfrx88ujlpkx3k,4064000,1574966508855,1,1599707545.6,0.43,528800000,0,23680,910163968,,
2019-11-28 21:41:49.070000,6ffd41e1fbc1,953mxmlwyvltfrx88ujlpkx3k,0,1574966508957,1,11390253268.992,6.71,2112000000,0,23680,11390253268.992,,
2019-11-28 21:41:49.166000,f06963f3ad95,953mxmlwyvltfrx88ujlpkx3k,0,1574966509070,1,4999610368,0.85,0,0,23680,2459539865.6,,
2019-11-28 21:41:49.209000,bca9d260c15b,953mxmlwyvltfrx88ujlpkx3k,209600000,1574966509167,3,73065983639.552,0.62,0,14960,44000,106535321.6,,
,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,36880000,1574966509210,3,73065983639.552,0.43,0,0,22400,103263764.48,-,-
,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,182400000,1574966509210,2,73065983639.552,1.63,0,0,24080,363142840.32,-,-
,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966509210,11,73065983639.552,0.98,589600,7776,30160,251658240,-,-
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966509210,1,11596411699.2,5.75,896000000,0,23680,11596411699.2,Teknosa,PckasaPrelive
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966509210,1,175992995.84,0.19,356000000,0,23680,128765132.8,Vatan,Edefter
,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966509211,1,3999688294.4,0.36,0,0,23680,1257452339.2,Bimeks,SapErp
,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966509211,1,679980564.48,0.53,367200000,0,25440,485364858.88,Vatan,Sale001
,2eeb54d55f3b,953mxmlwyvltfrx88ujlpkx3k,1016000000,1574966509211,23,73065983639.552,0.95,0,13120,33520,390825246.72,-,-
,7437635703d2,953mxmlwyvltfrx88ujlpkx3k,5176000,1574966509211,1,520009809.92,0.47,1376000000,0,23680,471523655.68,Bimeks,Cusotmer001
,01f13e58f338,953mxmlwyvltfrx88ujlpkx3k,4064000,1574966509211,1,1599707545.6,0.43,528800000,0,23680,910163968,Vatan,Fin002
,6ffd41e1fbc1,953mxmlwyvltfrx88ujlpkx3k,0,1574966509211,1,11390253268.992,6.71,2112000000,0,23680,11390253268.992,Teknosa,WeblogicLive
,f06963f3ad95,953mxmlwyvltfrx88ujlpkx3k,0,1574966509211,1,4999610368,0.85,0,0,23680,2459539865.6,Teknosa,Zeugma
,bca9d260c15b,953mxmlwyvltfrx88ujlpkx3k,209600000,1574966509211,3,73065983639.552,0.62,0,14960,44000,106535321.6,-,-
,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,39120000,1574966509212,3,73065983639.552,0.18,0,0,23280,103431536.64,-,-
,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,185600000,1574966509213,2,73065983639.552,0.87,0,0,24080,366162739.2,-,-
,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966509213,11,73065983639.552,0.08,589600,7776,30160,251658240,-,-
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966509213,1,11596411699.2,7.75,2648000000,0,23680,11596411699.2,Teknosa,PckasaPrelive
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966509213,1,175992995.84,0,356000000,0,23680,128765132.8,Vatan,Edefter
